Rec_Session_Id,Trial_Nr,Trial_Id,Task_Name,Condition_Id,Frequency,question_answer,trial_end,trial_number,trial_start,list,question_accuracy,sub
1238835,25,31,sentence_DC,2,,1,1739461121324,90,,A,1,11
1238835,25,38,sentence,2,low,1,1739460202859,30,1739460198629,A,1,11
1238835,26,18,sentence_DC,1,,1,1739461248481,91,,A,1,11
1238835,26,46,sentence,2,low,0,1739460269131,31,1739460264615,A,1,11
1238835,27,17,sentence,1,high,0,1739460276141,32,1739460271876,A,1,11
1238835,27,20,sentence_DC,1,,0,1739461251265,92,,A,1,11
1238835,28,39,sentence_DC,2,,0,1739461254065,93,,A,1,11
1238835,28,26,sentence,1,high,0,1739460284523,33,1739460278845,A,1,11
1238835,29,58,sentence,2,low,0,1739460297947,34,1739460288445,A,1,11
1238835,29,25,sentence_DC,2,,0,1739461257433,94,,A,1,11
1238835,30,10,sentence,1,high,1,1739460303635,35,1739460300348,A,0,11
1238835,30,16,sentence_DC,1,,1,1739461262561,95,,A,1,11
1238835,31,48,sentence,2,low,1,1739460351915,36,1739460346904,A,1,11
1238835,31,29,sentence_DC,2,,0,1739461284673,96,,A,1,11
1238835,32,3,sentence,1,high,1,1739460356907,37,1739460354316,A,1,11
1238835,32,17,sentence_DC,1,,0,1739461287769,97,,A,1,11
1238835,33,27,sentence_DC,2,,0,1739461290537,98,,A,1,11
1238835,33,19,sentence,1,high,1,1739460367258,38,1739460362976,A,1,11
1238835,34,12,sentence_DC,1,,0,1739461293635,99,,A,1,11
1238835,34,11,sentence,1,high,0,1739460373162,39,1739460369709,A,1,11
1238835,35,40,sentence_DC,2,,1,1739461296674,100,,A,1,11
1238835,35,15,sentence,1,high,1,1739460381458,40,1739460375806,A,1,11
1238835,36,35,sentence,2,low,1,1739460414706,41,1739460410532,A,1,11
1238835,36,9,sentence_DC,1,,0,1739461316729,101,,A,1,11
1238835,37,8,sentence_DC,1,,0,1739461321409,102,,A,1,11
1238835,37,60,sentence,2,low,1,1739460421707,42,1739460417168,A,1,11
1238835,38,6,sentence,1,high,0,1739460426490,43,1739460423708,A,1,11
1238835,38,24,sentence_DC,2,,1,1739461325537,103,,A,1,11
1238835,39,40,sentence,2,low,1,1739460440274,44,1739460429343,A,1,11
1238835,39,26,sentence_DC,2,,1,1739461328233,104,,A,1,11
1238835,40,33,sentence_DC,2,,1,1739461332673,105,,A,1,11
1238835,40,43,sentence,2,low,0,1739460450922,45,1739460443253,A,1,11
1238835,41,59,sentence,2,low,1,1739460586610,46,1739460582576,A,1,11
1238835,42,51,sentence,2,low,1,1739460591930,47,1739460589303,A,1,11
1238835,43,42,sentence,2,low,1,1739460603346,48,1739460598405,A,1,11
1238835,44,7,sentence,1,high,1,1739460613594,49,1739460608102,A,1,11
1238835,45,1,sentence,1,high,1,1739460620933,50,1739460616495,A,1,11
1238835,46,45,sentence,2,low,0,1739460646754,51,1739460641756,A,1,11
1238835,47,25,sentence,1,high,1,1739460654898,52,1739460651158,A,1,11
1238835,48,47,sentence,2,low,0,1739460660778,53,1739460657132,A,1,11
1238835,49,37,sentence,2,low,0,1739460667946,54,1739460663325,A,1,11
1238835,50,52,sentence,2,low,0,1739460681802,55,1739460672148,A,1,11
1238835,51,8,sentence,1,high,0,1739460706674,56,1739460702268,A,1,11
1238835,52,12,sentence,1,high,0,1739460714122,57,1739460709246,A,1,11
1238835,53,2,sentence,1,high,0,1739460720386,58,1739460716923,A,1,11
1238835,54,4,sentence,1,high,0,1739460727306,59,1739460722510,A,1,11
1238835,55,14,sentence,1,high,0,1739460734410,60,1739460730316,A,1,11
1238835,56,33,sentence,2,low,1,1739460846202,61,1739460841467,A,1,11
1238835,57,50,sentence,2,low,1,1739460853386,62,1739460849437,A,1,11
1238835,58,28,sentence,1,high,0,1739460859914,63,1739460857015,A,1,11
1238835,59,21,sentence,1,high,0,1739460872634,64,1739460862738,A,1,11
1238835,60,18,sentence,1,high,1,1739460880098,65,1739460874648,A,1,11
1306322,1,21,sentence_DC,2,,0,1745421208726,66,,B,1,13
1306322,1,23,sentence,1,low,1,1745420339829,6,1745420331990,B,1,13
1306322,2,31,sentence_DC,2,,1,1745421212109,67,,B,1,13
1306322,2,26,sentence,1,low,0,1745420347246,7,1745420342727,B,1,13
1306322,3,17,sentence_DC,1,,0,1745421214859,68,,B,1,13
1306322,3,57,sentence,2,high,0,1745420355861,8,1745420350344,B,1,13
1306322,4,1,sentence_DC,1,,0,1745421217789,69,,B,1,13
1306322,4,19,sentence,1,low,1,1745420363085,9,1745420359871,B,1,13
1306322,5,4,sentence_DC,1,,1,1745421220317,70,,B,1,13
1306322,5,20,sentence,1,low,1,1745420372829,10,1745420369651,B,1,13
1306322,6,35,sentence,2,high,1,1745420398693,11,1745420395301,B,1,13
1306322,6,35,sentence_DC,2,,0,1745421239133,71,,B,1,13
1306322,7,45,sentence,2,high,0,1745420408269,12,1745420401743,B,1,13
1306322,7,7,sentence_DC,1,,1,1745421243261,72,,B,1,13
1306322,8,14,sentence_DC,1,,1,1745421246205,73,,B,1,13
1306322,8,2,sentence,1,low,0,1745420416877,13,1745420411591,B,1,13
1306322,9,8,sentence,1,low,0,1745420424085,14,1745420419609,B,1,13
1306322,9,15,sentence_DC,1,,0,1745421248981,74,,B,1,13
1306322,10,38,sentence_DC,2,,1,1745421252901,75,,B,0,13
1306322,10,14,sentence,1,low,0,1745420428852,15,1745420426063,B,1,13
1306322,11,22,sentence_DC,2,,1,1745421299147,76,,B,1,13
1306322,11,54,sentence,2,high,0,1745420543862,16,1745420531806,B,1,13
1306322,12,10,sentence,1,low,0,1745420549213,17,1745420545902,B,1,13
1306322,12,2,sentence_DC,1,,1,1745421302821,77,,B,1,13
1306322,13,43,sentence,2,high,0,1745420556453,18,1745420552702,B,1,13
1306322,13,28,sentence_DC,2,,1,1745421305646,78,,B,1,13
1306322,14,9,sentence,1,low,0,1745420563309,19,1745420558823,B,1,13
1306322,14,8,sentence_DC,1,,0,1745421309381,79,,B,1,13
1306322,15,18,sentence,1,low,1,1745420573933,20,1745420565950,B,1,13
1306322,15,16,sentence_DC,1,,1,1745421312790,80,,B,1,13
1306322,16,24,sentence_DC,2,,1,1745421332029,81,,B,1,13
1306322,16,17,sentence,1,low,0,1745420597733,21,1745420593368,B,1,13
1306322,17,29,sentence,1,low,0,1745420605205,22,1745420599901,B,1,13
1306322,17,34,sentence_DC,2,,1,1745421335005,82,,B,1,13
1306322,18,24,sentence,1,low,0,1745420613669,23,1745420610024,B,1,13
1306322,18,37,sentence_DC,2,,1,1745421338525,83,,B,1,13
1306322,19,30,sentence_DC,2,,1,1745421341989,84,,B,1,13
1306322,19,53,sentence,2,high,1,1745420624405,24,1745420615882,B,1,13
1306322,20,59,sentence,2,high,1,1745420632893,25,1745420629067,B,1,13
1306322,20,3,sentence_DC,1,,0,1745421345461,85,,B,1,13
1306322,21,12,sentence,1,low,0,1745420659981,26,1745420654233,B,1,13
1306322,21,33,sentence_DC,2,,1,1745421366925,86,,B,1,13
1306322,22,33,sentence,2,high,1,1745420664957,27,1745420662803,B,1,13
1306322,22,12,sentence_DC,1,,0,1745421370709,87,,B,1,13
1306322,23,13,sentence_DC,1,,0,1745421373293,88,,B,1,13
1306322,23,28,sentence,1,low,0,1745420672461,28,1745420668317,B,1,13
1306322,24,42,sentence,2,high,1,1745420678869,29,1745420675669,B,1,13
1306322,24,20,sentence_DC,1,,0,1745421376557,89,,B,1,13
1306322,25,39,sentence_DC,2,,0,1745421379653,90,,B,1,13
1306322,25,39,sentence,2,high,1,1745420684253,30,1745420681274,B,1,13
1306322,26,36,sentence_DC,2,,1,1745421458533,91,,B,1,13
1306322,26,37,sentence,2,high,0,1745420773189,31,1745420768653,B,1,13
1306322,27,47,sentence,2,high,0,1745420778725,32,1745420775774,B,1,13
1306322,27,19,sentence_DC,1,,0,1745421461373,92,,B,1,13
1306322,28,18,sentence_DC,1,,1,1745421464533,93,,B,1,13
1306322,28,4,sentence,1,low,0,1745420785125,33,1745420780677,B,1,13
1306322,29,22,sentence,1,low,1,1745420792645,34,1745420787801,B,1,13
1306322,29,10,sentence_DC,1,,0,1745421467373,94,,B,1,13
1306322,30,6,sentence,1,low,0,1745420798469,35,1745420795077,B,1,13
1306322,30,11,sentence_DC,1,,0,1745421470429,95,,B,1,13
1306322,31,31,sentence,2,high,0,1745420821711,36,1745420818537,B,1,13
1306322,31,5,sentence_DC,1,,1,1745421490625,96,,B,1,13
1306322,32,55,sentence,2,high,1,1745420827181,37,1745420824185,B,1,13
1306322,32,25,sentence_DC,2,,0,1745421494317,97,,B,1,13
1306322,33,23,sentence_DC,2,,1,1745421497637,98,,B,1,13
1306322,33,52,sentence,2,high,0,1745420832901,38,1745420829070,B,1,13
1306322,34,6,sentence_DC,1,,0,1745421500533,99,,B,1,13
1306322,34,50,sentence,2,high,1,1745420839061,39,1745420835458,B,1,13
1306322,35,26,sentence_DC,2,,1,1745421503453,100,,B,1,13
1306322,35,5,sentence,1,low,0,1745420845861,40,1745420842457,B,1,13
1306322,36,11,sentence,1,low,0,1745420869021,41,1745420864743,B,1,13
1306322,36,29,sentence_DC,2,,0,1745421524469,101,,B,1,13
1306322,37,40,sentence_DC,2,,1,1745421527173,102,,B,1,13
1306322,37,49,sentence,2,high,0,1745420874133,42,1745420871129,B,1,13
1306322,38,27,sentence,1,low,0,1745420879077,43,1745420875826,B,1,13
1306322,38,9,sentence_DC,1,,0,1745421529368,103,,B,1,13
1306322,39,32,sentence,2,high,0,1745420884325,44,1745420881359,B,1,13
1306322,39,27,sentence_DC,2,,0,1745421531797,104,,B,1,13
1306322,40,32,sentence_DC,2,,1,1745421534517,105,,B,1,13
1306322,40,16,sentence,1,low,1,1745420889642,45,1745420886396,B,1,13
1306322,41,51,sentence,2,high,1,1745420973374,46,1745420971090,B,1,13
1306322,42,48,sentence,2,high,1,1745420981341,47,1745420977375,B,1,13
1306322,43,3,sentence,1,low,1,1745420985149,48,1745420983205,B,1,13
1306322,44,41,sentence,2,high,1,1745420997349,49,1745420991678,B,1,13
1306322,45,21,sentence,1,low,0,1745421005749,50,1745420999671,B,1,13
1306322,46,38,sentence,2,high,1,1745421029565,51,1745421024458,B,1,13
1306322,47,36,sentence,2,high,1,1745421035686,52,1745421031440,B,1,13
1306322,48,13,sentence,1,low,1,1745421043219,53,1745421038634,B,1,13
1306322,49,58,sentence,2,high,0,1745421053629,54,1745421045275,B,1,13
1306322,50,30,sentence,1,low,0,1745421061805,55,1745421055670,B,1,13
1306322,51,56,sentence,2,high,1,1745421086448,56,1745421081578,B,1,13
1306322,52,7,sentence,1,low,1,1745421091957,57,1745421088160,B,1,13
1306322,53,1,sentence,1,low,1,1745421097349,58,1745421094729,B,1,13
1306322,54,25,sentence,1,low,1,1745421102519,59,1745421099451,B,1,13
1306322,55,15,sentence,1,low,1,1745421109061,60,1745421104886,B,1,13
1306322,56,46,sentence,2,high,0,1745421163173,61,1745421160176,B,1,13
1306322,57,44,sentence,2,high,1,1745421168069,62,1745421164734,B,1,13
1306322,58,34,sentence,2,high,1,1745421173589,63,1745421169830,B,1,13
1306322,59,60,sentence,2,high,1,1745421178277,64,1745421175569,B,1,13
1306322,60,40,sentence,2,high,1,1745421182853,65,1745421180048,B,1,13
1306367,1,16,sentence_DC,1,,1,1745424301238,66,,B,1,14
1306367,1,41,sentence,2,high,1,1745423510230,6,1745423507628,B,1,14
1306367,2,15,sentence_DC,1,,0,1745424304086,67,,B,1,14
1306367,2,5,sentence,1,low,0,1745423515574,7,1745423512183,B,1,14
1306367,3,38,sentence_DC,2,,0,1745424307814,68,,B,1,14
1306367,3,20,sentence,1,low,1,1745423522902,8,1745423517782,B,1,14
1306367,4,31,sentence_DC,2,,1,1745424312798,69,,B,1,14
1306367,4,48,sentence,2,high,1,1745423529974,9,1745423525528,B,1,14
1306367,5,17,sentence,1,low,0,1745423538246,10,1745423533808,B,1,14
1306367,5,29,sentence_DC,2,,0,1745424316222,70,,B,1,14
1306367,6,52,sentence,2,high,0,1745423559686,11,1745423556977,B,1,14
1306367,6,14,sentence_DC,1,,1,1745424335670,71,,B,1,14
1306367,7,11,sentence_DC,1,,0,1745424338998,72,,B,1,14
1306367,7,22,sentence,1,low,1,1745423566269,12,1745423562569,B,1,14
1306367,8,29,sentence,1,low,0,1745423571326,13,1745423568922,B,1,14
1306367,8,26,sentence_DC,2,,1,1745424342134,73,,B,1,14
1306367,9,34,sentence_DC,2,,1,1745424346390,74,,B,1,14
1306367,9,46,sentence,2,high,0,1745423577950,14,1745423574502,B,1,14
1306367,10,17,sentence_DC,1,,0,1745424350350,75,,B,1,14
1306367,10,12,sentence,1,low,0,1745423582541,15,1745423580023,B,1,14
1306367,11,37,sentence_DC,2,,1,1745424441822,76,,B,1,14
1306367,11,16,sentence,1,low,1,1745423755238,16,1745423751340,B,1,14
1306367,12,2,sentence_DC,1,,1,1745424445270,77,,B,1,14
1306367,12,49,sentence,2,high,0,1745423761662,17,1745423759103,B,1,14
1306367,13,19,sentence,1,low,1,1745423767878,18,1745423764691,B,1,14
1306367,13,32,sentence_DC,2,,1,1745424449598,78,,B,1,14
1306367,14,23,sentence,1,low,1,1745423774582,19,1745423770810,B,1,14
1306367,14,18,sentence_DC,1,,1,1745424457238,79,,B,1,14
1306367,15,38,sentence,2,high,1,1745423779174,20,1745423776915,B,1,14
1306367,15,28,sentence_DC,2,,1,1745424460182,80,,B,1,14
1306367,16,19,sentence_DC,1,,0,1745424482398,81,,B,1,14
1306367,16,60,sentence,2,high,1,1745423809831,21,1745423805768,B,1,14
1306367,17,3,sentence,1,low,0,1745423814214,22,1745423811745,B,0,14
1306367,17,6,sentence_DC,1,,0,1745424486014,82,,B,1,14
1306367,18,34,sentence,2,high,1,1745423827230,23,1745423824846,B,1,14
1306367,18,21,sentence_DC,2,,0,1745424489239,83,,B,1,14
1306367,19,36,sentence_DC,2,,1,1745424493062,84,,B,1,14
1306367,19,44,sentence,2,high,1,1745423832006,24,1745423829751,B,1,14
1306367,20,39,sentence_DC,2,,0,1745424497502,85,,B,1,14
1306367,20,8,sentence,1,low,0,1745423837958,25,1745423833931,B,1,14
1306367,21,50,sentence,2,high,1,1745423859643,26,1745423857561,B,1,14
1306367,21,3,sentence_DC,1,,0,1745424518014,86,,B,1,14
1306367,22,33,sentence_DC,2,,1,1745424520830,87,,B,1,14
1306367,22,10,sentence,1,low,0,1745423867270,27,1745423864015,B,1,14
1306367,23,23,sentence_DC,2,,1,1745424524670,88,,B,1,14
1306367,23,35,sentence,2,high,1,1745423872454,28,1745423870336,B,1,14
1306367,24,13,sentence_DC,1,,0,1745424528136,89,,B,1,14
1306367,24,55,sentence,2,high,1,1745423877910,29,1745423874755,B,1,14
1306367,25,30,sentence_DC,2,,1,1745424531854,90,,B,1,14
1306367,25,59,sentence,2,high,1,1745423882406,30,1745423879791,B,1,14
1306367,26,9,sentence_DC,1,,0,1745424605894,91,,B,1,14
1306367,26,54,sentence,2,high,0,1745423919710,31,1745423914524,B,1,14
1306367,27,24,sentence,1,low,0,1745423924438,32,1745423922019,B,1,14
1306367,27,4,sentence_DC,1,,1,1745424609294,92,,B,1,14
1306367,28,40,sentence_DC,2,,1,1745424611862,93,,B,1,14
1306367,28,40,sentence,2,high,1,1745423929342,33,1745423926759,B,1,14
1306367,29,2,sentence,1,low,0,1745423934750,34,1745423931959,B,1,14
1306367,29,1,sentence_DC,1,,0,1745424614646,94,,B,1,14
1306367,30,25,sentence_DC,2,,1,1745424616894,95,,B,0,14
1306367,30,32,sentence,2,high,0,1745423947166,35,1745423942607,B,1,14
1306367,31,25,sentence,1,low,1,1745423968382,36,1745423965679,B,1,14
1306367,31,22,sentence_DC,2,,1,1745424661326,96,,B,1,14
1306367,32,35,sentence_DC,2,,0,1745424666078,97,,B,1,14
1306367,32,14,sentence,1,low,0,1745423973830,37,1745423970812,B,1,14
1306367,33,8,sentence_DC,1,,0,1745424669736,98,,B,1,14
1306367,33,27,sentence,1,low,0,1745423979486,38,1745423977209,B,1,14
1306367,34,12,sentence_DC,1,,0,1745424673390,99,,B,1,14
1306367,34,18,sentence,1,low,1,1745423986966,39,1745423981896,B,1,14
1306367,35,56,sentence,2,high,1,1745423992261,40,1745423989206,B,1,14
1306367,35,27,sentence_DC,2,,0,1745424677774,100,,B,1,14
1306367,36,24,sentence_DC,2,,1,1745424699150,101,,B,1,14
1306367,36,51,sentence,2,high,1,1745424016734,41,1745424011179,B,1,14
1306367,37,5,sentence_DC,1,,1,1745424703215,102,,B,1,14
1306367,37,37,sentence,2,high,0,1745424021803,42,1745424019338,B,1,14
1306367,38,20,sentence_DC,1,,0,1745424706686,103,,B,1,14
1306367,38,4,sentence,1,low,0,1745424027766,43,1745424024768,B,1,14
1306367,39,33,sentence,2,high,1,1745424032766,44,1745424030497,B,1,14
1306367,39,7,sentence_DC,1,,1,1745424710502,104,,B,1,14
1306367,40,10,sentence_DC,1,,0,1745424713812,105,,B,1,14
1306367,40,13,sentence,1,low,1,1745424038230,45,1745424035762,B,1,14
1306367,41,11,sentence,1,low,0,1745424093014,46,1745424089907,B,1,14
1306367,42,21,sentence,1,low,0,1745424098910,47,1745424095406,B,1,14
1306367,43,57,sentence,2,high,0,1745424105318,48,1745424101199,B,1,14
1306367,44,6,sentence,1,low,0,1745424111550,49,1745424107850,B,1,14
1306367,45,43,sentence,2,high,0,1745424118054,50,1745424114137,B,1,14
1306367,46,39,sentence,2,high,1,1745424142017,51,1745424138964,B,1,14
1306367,47,31,sentence,2,high,0,1745424147118,52,1745424144507,B,1,14
1306367,48,15,sentence,1,low,1,1745424153254,53,1745424149499,B,1,14
1306367,49,26,sentence,1,low,0,1745424159614,54,1745424155735,B,1,14
1306367,50,7,sentence,1,low,1,1745424166614,55,1745424162303,B,1,14
1306367,51,30,sentence,1,low,0,1745424191454,56,1745424186256,B,1,14
1306367,52,53,sentence,2,high,1,1745424199207,57,1745424194624,B,1,14
1306367,53,42,sentence,2,high,1,1745424205775,58,1745424202266,B,1,14
1306367,54,28,sentence,1,low,0,1745424211710,59,1745424208139,B,1,14
1306367,55,1,sentence,1,low,1,1745424219766,60,1745424215344,B,1,14
1306367,56,45,sentence,2,high,0,1745424251416,61,1745424247810,B,1,14
1306367,57,36,sentence,2,high,0,1745424256852,62,1745424254513,B,0,14
1306367,58,9,sentence,1,low,0,1745424264894,63,1745424260786,B,1,14
1306367,59,58,sentence,2,high,0,1745424272198,64,1745424266830,B,1,14
1306367,60,47,sentence,2,high,0,1745424277062,65,1745424274247,B,1,14
1313330,1,12,sentence,1,low,0,1745933029814,6,1745933025712,B,1,17
1313330,2,57,sentence,2,high,0,1745933038110,7,1745933032989,B,1,17
1313330,3,13,sentence,1,low,1,1745933045990,8,1745933041589,B,1,17
1313330,4,38,sentence,2,high,1,1745933053309,9,1745933048686,B,1,17
1313330,5,11,sentence,1,low,0,1745933060317,10,1745933056414,B,1,17
1313330,6,48,sentence,2,high,1,1745933088407,11,1745933084357,B,1,17
1313330,7,31,sentence,2,high,1,1745933094430,12,1745933090856,B,0,17
1313330,8,3,sentence,1,low,1,1745933100949,13,1745933097589,B,1,17
1313330,9,50,sentence,2,high,1,1745933108518,14,1745933104462,B,1,17
1313330,10,21,sentence,1,low,0,1745933117517,15,1745933113230,B,1,17
1313330,11,60,sentence,2,high,1,1745933174053,16,1745933170372,B,1,17
1313330,12,39,sentence,2,high,1,1745933179973,17,1745933175902,B,1,17
1313330,13,2,sentence,1,low,0,1745933186061,18,1745933181947,B,1,17
1313330,14,59,sentence,2,high,1,1745933192254,19,1745933188385,B,1,17
1313330,15,51,sentence,2,high,1,1745933196869,20,1745933193805,B,1,17
1313330,16,44,sentence,2,high,1,1745933225510,21,1745933221783,B,1,17
1313330,17,46,sentence,2,high,0,1745933230446,22,1745933227023,B,1,17
1313330,18,40,sentence,2,high,1,1745933236366,23,1745933232337,B,1,17
1313330,19,33,sentence,2,high,1,1745933242294,24,1745933238944,B,1,17
1313330,20,18,sentence,1,low,1,1745933249926,25,1745933244998,B,1,17
1313330,21,42,sentence,2,high,1,1745933279478,26,1745933275049,B,1,17
1313330,22,41,sentence,2,high,1,1745933284959,27,1745933281270,B,1,17
1313330,23,53,sentence,2,high,1,1745933291853,28,1745933287247,B,1,17
1313330,24,30,sentence,1,low,0,1745933297575,29,1745933294049,B,1,17
1313330,25,20,sentence,1,low,1,1745933304454,30,1745933300457,B,1,17
1313330,26,58,sentence,2,high,0,1745933361623,31,1745933357304,B,1,17
1313330,27,45,sentence,2,high,0,1745933366775,32,1745933363585,B,1,17
1313330,28,8,sentence,1,low,0,1745933373358,33,1745933370068,B,1,17
1313330,29,6,sentence,1,low,0,1745933379182,34,1745933375856,B,1,17
1313330,30,5,sentence,1,low,0,1745933384477,35,1745933381459,B,1,17
1313330,31,4,sentence,1,low,0,1745933411430,36,1745933406666,B,1,17
1313330,32,19,sentence,1,low,1,1745933416717,37,1745933413643,B,1,17
1313330,33,23,sentence,1,low,1,1745933422008,38,1745933418895,B,1,17
1313330,34,43,sentence,2,high,0,1745933428773,39,1745933424677,B,1,17
1313330,35,56,sentence,2,high,1,1745933435206,40,1745933431663,B,1,17
1313330,36,9,sentence,1,low,0,1745933463806,41,1745933458927,B,1,17
1313330,37,15,sentence,1,low,1,1745933469358,42,1745933465873,B,1,17
1313330,38,17,sentence,1,low,0,1745933475390,43,1745933471707,B,1,17
1313330,39,26,sentence,1,low,0,1745933480439,44,1745933477297,B,1,17
1313330,40,35,sentence,2,high,1,1745933485990,45,1745933482902,B,1,17
1313330,41,22,sentence,1,low,1,1745933543302,46,1745933538524,B,1,17
1313330,42,1,sentence,1,low,1,1745933549790,47,1745933546563,B,1,17
1313330,43,32,sentence,2,high,0,1745933554614,48,1745933551754,B,1,17
1313330,44,7,sentence,1,low,1,1745933560400,49,1745933557267,B,1,17
1313330,45,29,sentence,1,low,0,1745933567318,50,1745933562857,B,1,17
1313330,46,16,sentence,1,low,1,1745933593497,51,1745933589613,B,1,17
1313330,47,14,sentence,1,low,0,1745933599776,52,1745933596774,B,1,17
1313330,48,54,sentence,2,high,0,1745933607168,53,1745933603398,B,1,17
1313330,49,49,sentence,2,high,0,1745933613157,54,1745933608996,B,1,17
1313330,50,34,sentence,2,high,1,1745933618045,55,1745933615000,B,1,17
1313330,51,55,sentence,2,high,1,1745933645838,56,1745933641095,B,1,17
1313330,52,27,sentence,1,low,0,1745933651230,57,1745933648447,B,1,17
1313330,53,25,sentence,1,low,1,1745933657037,58,1745933653511,B,1,17
1313330,54,10,sentence,1,low,0,1745933665119,59,1745933661406,B,1,17
1313330,55,47,sentence,2,high,0,1745933673231,60,1745933669751,B,1,17
1313330,56,36,sentence,2,high,0,1745933729446,61,1745933725647,B,0,17
1313330,57,28,sentence,1,low,0,1745933736605,62,1745933732062,B,1,17
1313330,58,37,sentence,2,high,0,1745933742038,63,1745933739198,B,1,17
1313330,59,24,sentence,1,low,0,1745933749614,64,1745933745703,B,1,17
1313330,60,52,sentence,2,high,1,1745933756728,65,1745933752702,B,0,17
1319413,1,32,sentence_DC,2,,1,1746537829210,66,1746537827376,B,1,18
1319413,1,35,sentence,2,high,1,1746537141899,6,1746537136801,B,1,18
1319413,2,24,sentence_DC,2,,1,1746537836003,67,1746537833153,B,1,18
1319413,2,48,sentence,2,high,1,1746537147843,7,1746537144455,B,1,18
1319413,3,10,sentence_DC,1,,0,1746537838411,68,1746537838301,B,1,18
1319413,3,14,sentence,1,low,0,1746537152307,8,1746537149746,B,1,18
1319413,4,4,sentence_DC,1,,1,1746537844467,69,1746537843202,B,1,18
1319413,4,42,sentence,2,high,1,1746537157667,9,1746537154194,B,1,18
1319413,5,46,sentence,2,high,0,1746537162844,10,1746537159491,B,1,18
1319413,5,12,sentence_DC,1,,0,1746537848626,70,1746537847320,B,1,18
1319413,6,22,sentence,1,low,1,1746537211466,11,1746537207356,B,1,18
1319413,6,8,sentence_DC,1,,0,1746537878771,71,1746537876195,B,1,18
1319413,7,6,sentence_DC,1,,0,1746537881562,72,1746537880458,B,1,18
