"","...1","...2","Trial_Nr","Trial_Id","Task_Name","sub","x","y","time","conf","el_x","el_y","el_pupil","el_time","time_start","time_diff","Freq","web_wordID","web_char","web_char_num","web_target_word","web_word_num","el_wordID","el_char","el_char_num","el_target_word","el_word_num","freq","zipf","ground_truth"
"29",29,29,1,114,"Single_line_sentences",11,1155.94522476196,921.173164844513,1739460907017.6,1,622.4,582.7,562,12403573,544.60009765625,31.60009765625,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"30",30,30,1,114,"Single_line_sentences",11,1077.69189834595,933.593230247498,1739460907033.3,1,621.5,582.7,559,12403588,560.300048828125,15.699951171875,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"31",31,31,1,114,"Single_line_sentences",11,1121.67211532593,932.824487686157,1739460907065.1,0.877199228667076,622.5,578.6,563,12403620,592.10009765625,31.800048828125,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"32",32,32,1,114,"Single_line_sentences",11,1132.5901222229,925.281000137328,1739460907080,0.914724613900983,622.3,577.2,561,12403635,607,14.89990234375,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"33",33,33,1,114,"Single_line_sentences",11,1130.3849029541,926.00519657135,1739460907095.9,0.971607226880023,623.3,576.5,560,12403651,622.900146484375,15.900146484375,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"34",34,34,1,114,"Single_line_sentences",11,1175.91281890869,925.318336486817,1739460907111.6,0.922154967044809,621.8,574.1,560,12403667,638.60009765625,15.699951171875,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"35",35,35,1,114,"Single_line_sentences",11,1163.59457015991,928.15345287323,1739460907127.4,1,623.1,572.4,561,12403682,654.400146484375,15.800048828125,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"36",36,36,1,114,"Single_line_sentences",11,1200.28244018555,923.43317270279,1739460907143.3,0.955912854061618,623.4,572.7,562,12403698,670.300048828125,15.89990234375,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"37",37,37,1,114,"Single_line_sentences",11,1199.39798355102,913.094029426574,1739460907159,0.79664963576456,624.9,571.4,560,12403714,686,15.699951171875,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"38",38,38,1,114,"Single_line_sentences",11,1132.31706619263,924.551203250885,1739460907174.3,0.938962862288951,625.3,571.3,564,12403729,701.300048828125,15.300048828125,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"39",39,39,1,114,"Single_line_sentences",11,1111.66133880615,932.568604946136,1739460907205.8,0.857208028320095,623.5,569.7,566,12403761,732.800048828125,31.5,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"40",40,40,1,114,"Single_line_sentences",11,1094.61038589478,927.765927314758,1739460907221.6,0.857208028320095,623.4,567.2,570,12403777,748.60009765625,15.800048828125,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"41",41,41,1,114,"Single_line_sentences",11,1124.25035476685,925.822377204895,1739460907237.5,0.906372501666259,623.1,568.8,569,12403793,764.5,15.89990234375,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"42",42,42,1,114,"Single_line_sentences",11,1204.41284179687,926.295390129089,1739460907253.3,1,623.8,572.5,565,12403808,780.300048828125,15.800048828125,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"43",43,43,1,114,"Single_line_sentences",11,1176.64163589478,918.970127105712,1739460907268.8,0.976185892302245,625.8,568.6,568,12403824,795.800048828125,15.5,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"44",44,44,1,114,"Single_line_sentences",11,1085.87327957153,942.013156414032,1739460907283.9,1,625.8,571.4,572,12403839,810.900146484375,15.10009765625,NA,"felt","t",4,NA,3,"sand","n",3,NA,2,28192,5.15,"fixation"
"45",45,45,1,114,"Single_line_sentences",11,1186.80633544922,931.722614765167,1739460907299.9,1,621.6,570.2,569,12403855,826.900146484375,16,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"46",46,46,1,114,"Single_line_sentences",11,1232.2240447998,917.277953624726,1739460907323.6,0.982220268859542,623.9,571.2,575,12403879,850.60009765625,23.699951171875,NA,"smooth.","s",1,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"47",47,47,1,114,"Single_line_sentences",11,1231.13891601563,923.976545333863,1739460907339.5,1,627.9,568.9,573,12403895,866.5,15.89990234375,NA,"smooth.","s",1,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"48",48,48,1,114,"Single_line_sentences",11,1212.99905776978,927.50631093979,1739460907355.2,0.956181640630502,624.4,568.8,574,12403910,882.199951171875,15.699951171875,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"fixation"
"49",49,49,1,114,"Single_line_sentences",11,1161.50522232056,933.565614223481,1739460907386.2,1,619.8,506.7,571,12403941,913.199951171875,31,NA,"smooth.",NA,0,NA,4,"sand","n",3,NA,2,4604,4.36,"saccade"
"50",50,50,1,114,"Single_line_sentences",11,1255.22775650024,927.2714138031,1739460907402.2,0.971738251218559,586.2,474,574,12403957,929.199951171875,16,NA,"smooth.","s",1,NA,4,"sand","a",2,NA,2,4604,4.36,"pso"
"51",51,51,1,114,"Single_line_sentences",11,1175.28768539429,933.223793506622,1739460907417.9,0.844244352066383,556.4,454.9,571,12403973,944.900146484375,15.7001953125,NA,"smooth.",NA,0,NA,4,"sand","a",2,NA,2,4604,4.36,"pso"
"52",52,52,1,114,"Single_line_sentences",11,1120.8634185791,927.781763076782,1739460907449.6,0.745468053448383,558.9,440,573,12404005,976.60009765625,31.699951171875,NA,"felt","t",4,NA,3,"sand","a",2,NA,2,28192,5.15,"fixation"
"53",53,53,1,114,"Single_line_sentences",11,1195.26575088501,910.118708610535,1739460907465.3,1,558.8,443.5,580,12404020,992.300048828125,15.699951171875,NA,"smooth.",NA,0,NA,4,"sand","a",2,NA,2,4604,4.36,"fixation"
"54",54,54,1,114,"Single_line_sentences",11,1107.92009353638,925.3218126297,1739460907494.5,0.869779226813483,556.7,444.4,579,12404049,1021.5,29.199951171875,NA,"felt","t",4,NA,3,"sand","a",2,NA,2,28192,5.15,"fixation"
"55",55,55,1,114,"Single_line_sentences",11,1099.44236755371,918.076114654541,1739460907510.8,0.93295893906192,553.4,442.2,580,12404066,1037.80004882812,16.300048828125,NA,"felt","t",4,NA,3,"sand","a",2,NA,2,28192,5.15,"fixation"
"56",56,56,1,114,"Single_line_sentences",11,1115.72587966919,924.415440559387,1739460907525,0.93295893906192,554.2,441.4,581,12404080,1052,14.199951171875,NA,"felt","t",4,NA,3,"sand","a",2,NA,2,28192,5.15,"fixation"
"57",57,57,1,114,"Single_line_sentences",11,1105.94621658325,937.359566688538,1739460907540.7,1,553.3,440.5,586,12404096,1067.69995117188,15.699951171875,NA,"felt","t",4,NA,3,"sand","a",2,NA,2,28192,5.15,"fixation"
"58",58,58,1,114,"Single_line_sentences",11,1170.186252594,916.543071269988,1739460907556.5,0.840135128694151,554.5,441.8,590,12404111,1083.5,15.800048828125,NA,"smooth.",NA,0,NA,4,"sand","a",2,NA,2,4604,4.36,"fixation"
"59",59,59,1,114,"Single_line_sentences",11,1221.35335922241,923.187525272369,1739460907571.8,0.940108048483367,556.9,444.2,592,12404127,1098.80004882813,15.300048828125,NA,"smooth.",NA,0,NA,4,"sand","a",2,NA,2,4604,4.36,"fixation"
"60",60,60,1,114,"Single_line_sentences",11,1216.56377792358,921.020600795746,1739460907595.5,0.950036350956151,534.7,437.6,595,12404151,1122.5,23.699951171875,NA,"smooth.",NA,0,NA,4,"sand","a",2,NA,2,4604,4.36,"saccade"
"61",61,61,1,114,"Single_line_sentences",11,1246.70511245728,920.417361259461,1739460907610.4,0.950036350956151,436.5,425.6,596,12404165,1137.40014648438,14.900146484375,NA,"smooth.","s",1,NA,4,"sand","s",1,NA,2,4604,4.36,"saccade"
"62",62,62,1,114,"Single_line_sentences",11,1109.50492858887,929.147114753724,1739460907626.1,0.843884704699605,374.6,424.3,596,12404181,1153.10009765625,15.699951171875,NA,"felt","t",4,NA,3,"sand",NA,0,NA,2,28192,5.15,"saccade"
"63",63,63,1,114,"Single_line_sentences",11,1079.93396759033,956.292958259582,1739460907642,0.879041291449957,369.5,425,599,12404197,1169,15.89990234375,NA,"felt","t",4,NA,3,"sand",NA,0,NA,2,28192,5.15,"pso"
"64",64,64,1,114,"Single_line_sentences",11,1069.26235198975,945.754001140594,1739460907657.7,0.969570183251689,367.1,427,597,12404213,1184.69995117188,15.699951171875,NA,"felt","t",4,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"65",65,65,1,114,"Single_line_sentences",11,1063.66333007813,946.192960739136,1739460907673,0.953930870921529,366.6,425.5,599,12404228,1200,15.300048828125,NA,"felt","l",3,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"66",66,66,1,114,"Single_line_sentences",11,1140.88542938232,938.964257240294,1739460907704.4,0.90230435629431,366.2,424.9,599,12404259,1231.40014648438,31.400146484375,NA,"felt","t",4,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"67",67,67,1,114,"Single_line_sentences",11,1046.76887512207,948.840236663817,1739460907720.2,0.936052342191878,365.7,426.2,601,12404275,1247.19995117188,15.7998046875,NA,"felt","l",3,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"68",68,68,1,114,"Single_line_sentences",11,1058.08473587036,943.058445453643,1739460907736.1,1,365.9,425.1,600,12404291,1263.10009765625,15.900146484375,NA,"felt","l",3,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"69",69,69,1,114,"Single_line_sentences",11,1079.27215576172,946.535296440125,1739460907767.1,0.918305923468829,364.9,425,601,12404322,1294.10009765625,31,NA,"felt","t",4,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"70",70,70,1,114,"Single_line_sentences",11,997.378749847411,958.39744091034,1739460907782.9,1,364.9,424.4,602,12404338,1309.90014648438,15.800048828125,NA,"felt","l",3,NA,3,"sand",NA,0,NA,2,28192,5.15,"fixation"
"71",71,71,1,114,"Single_line_sentences",11,951.74280166626,960.153214931489,1739460907814.6,1,717.9,430.6,602,12404370,1341.60009765625,31.699951171875,NA,"felt","e",2,NA,3,"sand","d",4,NA,2,28192,5.15,"saccade"
"72",72,72,1,114,"Single_line_sentences",11,1110.54433822632,930.468435287477,1739460907830.4,0.992519845239565,903,423.7,599,12404385,1357.40014648438,15.800048828125,NA,"felt","t",4,NA,3,"felt","f",1,NA,3,28192,5.15,"saccade"
"73",73,73,1,114,"Single_line_sentences",11,1166.57581329346,913.829169273377,1739460907846.1,0.866423138894527,989.3,415,602,12404401,1373.10009765625,15.699951171875,NA,"smooth.",NA,0,NA,4,"felt","l",3,NA,3,4604,4.36,"saccade"
"74",74,74,1,114,"Single_line_sentences",11,1403.22215080261,887.403724193573,1739460907861.8,0.905452345771014,974.1,418.8,605,12404417,1388.80004882813,15.699951171875,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"pso"
"75",75,75,1,114,"Single_line_sentences",11,1381.78450584412,889.646995067597,1739460907892.8,0.624535779140021,971.3,421.2,607,12404448,1419.80004882813,31,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"76",76,76,1,114,"Single_line_sentences",11,1401.10625267029,879.801850318908,1739460907908.8,0.624535779140021,971.5,422,609,12404464,1435.80004882813,16,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"77",77,77,1,114,"Single_line_sentences",11,1392.44647979736,884.930770397186,1739460907924.8,0.86554181618664,971.1,422.7,617,12404480,1451.80004882813,16,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"78",78,78,1,114,"Single_line_sentences",11,1362.01718330383,885.867590904235,1739460907940.1,0.872532418233036,969.4,424.2,621,12404495,1467.10009765625,15.300048828125,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"79",79,79,1,114,"Single_line_sentences",11,1400.87697029114,884.508290290834,1739460907955.8,0.78824522870509,969.7,427.7,625,12404511,1482.80004882813,15.699951171875,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"80",80,80,1,114,"Single_line_sentences",11,1349.72800254822,896.25482082367,1739460907979.1,0.776420060397555,971,427.1,629,12404534,1506.10009765625,23.300048828125,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"81",81,81,1,114,"Single_line_sentences",11,1396.02905273437,883.796453475953,1739460907995,0.790120707727155,973,428,634,12404550,1522,15.89990234375,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"82",82,82,1,114,"Single_line_sentences",11,1427.80303001404,885.394191741943,1739460908010.3,0.777065259323477,973.1,429.5,637,12404565,1537.30004882813,15.300048828125,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"83",83,83,1,114,"Single_line_sentences",11,1448.13594818115,877.514355182647,1739460908041.8,0.769821177231157,974.2,432,644,12404597,1568.80004882813,31.5,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"84",84,84,1,114,"Single_line_sentences",11,1367.66467094421,884.026522636414,1739460908056.7,0.904283607708342,974.8,435.6,651,12404612,1583.69995117188,14.89990234375,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"85",85,85,1,114,"Single_line_sentences",11,1381.23487472534,884.620556831359,1739460908071.4,0.904283607708342,974.6,435.6,654,12404626,1598.40014648438,14.7001953125,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"fixation"
"86",86,86,1,114,"Single_line_sentences",11,1350.23789405823,881.093237400055,1739460908087.6,0.817586809411081,975.8,435,658,12404643,1614.60009765625,16.199951171875,NA,"smooth.","m",2,NA,4,"felt","e",2,NA,3,4604,4.36,"saccade"
"87",87,87,1,114,"Single_line_sentences",11,1352.4306678772,888.26690196991,1739460908102.9,0.905362160230536,1149.8,437.3,661,12404658,1629.90014648438,15.300048828125,NA,"smooth.","m",2,NA,4,"smooth.",NA,0,NA,4,4604,4.36,"saccade"
"88",88,88,1,114,"Single_line_sentences",11,1414.89887237549,877.960975170134,1739460908118.6,0.89438078542657,1292.8,432.6,650,12404674,1645.60009765625,15.699951171875,NA,"smooth.","o",3,NA,4,"smooth.","s",1,NA,4,4604,4.36,"saccade"
"89",89,89,1,114,"Single_line_sentences",11,1517.12762832642,874.1761636734,1739460908150,0.848709207341578,1401.1,429.3,649,12404705,1677,31.39990234375,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"pso"
"90",90,90,1,114,"Single_line_sentences",11,1637.59677886963,870.842671394347,1739460908165.8,0.802388497644026,1412.3,428,650,12404721,1692.80004882813,15.800048828125,NA,"smooth.","h",6,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"91",91,91,1,114,"Single_line_sentences",11,1646.88972473145,871.074993610382,1739460908197.8,0.915020639161929,1410.9,426.1,650,12404753,1724.80004882813,32,NA,"smooth.","h",6,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"92",92,92,1,114,"Single_line_sentences",11,1654.66386795044,870.428688526154,1739460908213.6,0.915020639161929,1412.9,426.3,649,12404769,1740.60009765625,15.800048828125,NA,"smooth.","h",6,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"93",93,93,1,114,"Single_line_sentences",11,1559.74021911621,885.827293395996,1739460908229.4,1,1413.7,425.8,650,12404784,1756.40014648438,15.800048828125,NA,"smooth.","t",5,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"94",94,94,1,114,"Single_line_sentences",11,1529.0175819397,878.476860523224,1739460908245.2,1,1414.7,426.2,645,12404800,1772.19995117188,15.7998046875,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"95",95,95,1,114,"Single_line_sentences",11,1544.22574996948,882.832403182982,1739460908260.9,0.878008895216284,1415.4,426.1,646,12404816,1787.90014648438,15.7001953125,NA,"smooth.","t",5,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"96",96,96,1,114,"Single_line_sentences",11,1541.95575714111,882.192857265473,1739460908276.2,0.954548889706205,1413.5,426.6,640,12404831,1803.19995117188,15.2998046875,NA,NA,NA,NA,NA,NA,"smooth.","o",3,NA,4,NA,NA,"fixation"
"97",97,97,1,114,"Single_line_sentences",11,1508.40208053589,895.075957775117,1739460908292.3,0.918252122673198,1414.4,426.8,635,12404847,1819.30004882813,16.10009765625,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"98",98,98,1,114,"Single_line_sentences",11,1511.06695175171,892.116343975068,1739460908315.1,0.776502920670464,1415.1,422.9,635,12404870,1842.10009765625,22.800048828125,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"99",99,99,1,114,"Single_line_sentences",11,1546.3597869873,885.363035202026,1739460908330.9,0.889045836437498,1413.5,420.9,632,12404886,1857.90014648438,15.800048828125,NA,"smooth.","t",5,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"100",100,100,1,114,"Single_line_sentences",11,1536.67488098145,882.488973140717,1739460908346.6,0.889045836437498,1412.1,421.5,632,12404902,1873.60009765625,15.699951171875,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"101",101,101,1,114,"Single_line_sentences",11,1489.83238220215,885.33239364624,1739460908361.8,0.790558517958677,1412.6,422.1,632,12404917,1888.80004882813,15.199951171875,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"102",102,102,1,114,"Single_line_sentences",11,1623.53261947632,866.159341335298,1739460908391.9,0.806485060389954,1412.9,421.9,632,12404947,1918.90014648438,30.10009765625,NA,"smooth.","h",6,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"103",103,103,1,114,"Single_line_sentences",11,1513.69514465332,882.327139377595,1739460908407.7,0.798779195958245,1411.1,422.8,631,12404963,1934.69995117188,15.7998046875,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"104",104,104,1,114,"Single_line_sentences",11,1476.24795913696,880.496435165405,1739460908423.5,1,1412.9,425,627,12404979,1950.5,15.800048828125,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"105",105,105,1,114,"Single_line_sentences",11,1492.56952285767,879.662675857543,1739460908455.1,0.952169645403269,1413.4,425.7,634,12405010,1982.10009765625,31.60009765625,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"106",106,106,1,114,"Single_line_sentences",11,1528.85204315185,879.458034038544,1739460908470.5,0.797439550847979,1414.7,427.1,633,12405025,1997.5,15.39990234375,NA,"smooth.","o",4,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"107",107,107,1,114,"Single_line_sentences",11,1389.28979873657,896.197593212129,1739460908486.2,0.913931659281932,1416.9,428.4,633,12405041,2013.19995117188,15.699951171875,NA,"smooth.","o",3,NA,4,"smooth.","o",3,NA,4,4604,4.36,"fixation"
"108",108,108,1,114,"Single_line_sentences",11,1575.74895858765,889.362015724183,1739460908517.7,0.859781484914453,1244.5,426,633,12405073,2044.69995117188,31.5,NA,"smooth.","t",5,NA,4,"smooth.","s",1,NA,4,4604,4.36,"saccade"
"109",109,109,1,114,"Single_line_sentences",11,1420.2733039856,888.268897533418,1739460908533.5,0.903232355992046,981.8,422.8,646,12405089,2060.5,15.800048828125,NA,"smooth.","o",3,NA,4,"felt","e",2,NA,3,4604,4.36,"saccade"
"110",110,110,1,114,"Single_line_sentences",11,1432.90328979492,878.641912937165,1739460908565.3,0.93976225471337,538.6,431.2,654,12405120,2092.30004882813,31.800048828125,NA,"smooth.","o",3,NA,4,"sand","a",2,NA,2,4604,4.36,"saccade"
